"","cvms_cvfs_1","SEC_1"
"1",NA,4.66666666666667
"2",3,4.75
"3",2.5,3.75
"4",2,3.25
"5",2,5
"6",3.5,3
"7",NA,2.25
"8",3,3.75
"9",2.5,4
"10",2.5,4
"11",NA,4.25
"12",NA,4.5
"13",NA,3.25
"14",NA,5
"15",3.5,5
"16",5,5
"17",NA,1.66666666666667
"18",NA,3
"19",5,1.5
"20",5,4.25
"21",3.5,2.5
"22",NA,4.75
"23",5,3.25
"24",5,3.5
"25",NA,3.33333333333333
"26",5,3.5
"27",5,3.5
"28",2,1.25
"29",4,3.5
"30",2.5,3.25
"31",5,4.25
"32",5,5
"33",5,3.5
"34",NA,2.5
"35",NA,1.25
"36",4,1
"37",2,2.75
"38",NA,2
"39",2.5,3.5
"40",2.5,3.25
"41",NA,3.5
"42",NA,4.75
"43",NA,2.5
"44",NA,2.5
"45",3,2.25
"46",NA,4
"47",NA,3.75
"48",5,2.25
"49",4.5,2.5
"50",3.5,2.5
"51",NA,1.5
"52",NA,2.75
"53",NA,2.5
"54",NA,4
"55",2.5,1
"56",2,3.75
"57",NA,3.25
"58",3.5,2.5
"59",NA,2.25
"60",2.5,1.75
"61",NA,2.75
"62",NA,1.25
"63",NA,3.5
"64",4,2.5
"65",2,2.5
"66",2.5,1
"67",NA,4.75
"68",4,4.25
"69",1.5,3
"70",4,1.75
"71",NA,2.5
"72",2,2
"73",NA,4.25
"74",4,2.75
"75",4,3
"76",3.5,2.25
"77",NA,2.5
"78",4,1.75
"79",3,3
"80",4,2
"81",2.5,3.75
"82",NA,4.25
"83",4,4.5
"84",2.5,3.5
"85",3,1.25
"86",3,1.25
"87",3,3.5
"88",4,3.5
"89",2,3
"90",1,4.75
"91",5,2.5
"92",NA,4.25
"93",NA,3.75
"94",2.5,3.75
"95",3,4.5
"96",3,5
"97",3,4.25
"98",NA,4.25
"99",5,4.75
"100",NA,3.75
"101",NA,3
"102",5,5
"103",NA,4.5
"104",2.5,3.5
"105",NA,3.75
"106",2,2.75
"107",NA,3.5
"108",3.5,3.75
"109",3.5,5
"110",5,3.25
"111",5,1
"112",4,3
"113",5,4.5
"114",5,4.75
"115",5,1
"116",4,2.25
"117",5,3.5
"118",4.5,4
"119",NA,2
"120",5,1
"121",4.5,2.5
"122",5,3.25
"123",5,4
"124",5,2.75
"125",5,3
"126",3.5,2.5
"127",5,4.5
"128",3,1.25
"129",3.5,3
"130",5,2.75
"131",NA,4
"132",2,3.25
"133",NA,4.25
"134",3,3.5
"135",NA,2.25
"136",2.5,2.75
"137",NA,4
"138",NA,2.25
"139",NA,4
"140",NA,2.5
"141",NA,1.75
"142",3,3.5
"143",2,1
"144",2,3
"145",4.5,5
"146",5,2.25
"147",5,4.75
"148",NA,4.25
"149",5,3.5
"150",5,3.5
"151",1,2.5
"152",4,2.75
"153",5,1
"154",4,3.5
"155",4,3.5
"156",2.5,2.5
"157",3,2
"158",3,2.5
"159",2,1.5
"160",2.5,3
"161",2,2.25
"162",NA,2.25
"163",2,3.25
"164",2,2.5
"165",2,2.75
"166",2,1.75
"167",NA,3.75
"168",2.5,3
"169",2,4
"170",3,3.75
"171",5,4.5
"172",5,4.5
"173",5,2
"174",3.5,3
"175",4,3.25
"176",5,2.5
"177",3.5,4.75
"178",5,3.75
"179",4,2.5
"180",4,3.75
"181",5,5
"182",NA,3
"183",5,4.25
"184",2.5,4
"185",4,4.75
"186",2,3.75
"187",3,3
"188",4,4
"189",NA,4.25
"190",3,3.5
"191",2.5,4.25
"192",2,4
"193",4,2.75
"194",4,3
"195",NA,3
"196",2.5,2.25
"197",3,2
"198",3,4.75
"199",5,2.25
"200",2.5,4
"201",2,2.5
"202",1,2.75
"203",3,4.5
"204",NA,4
"205",NA,3.25
"206",1,3.5
"207",2,3
"208",2,3.75
"209",NA,3.25
"210",NA,2.25
"211",NA,4.75
"212",NA,3.25
"213",NA,1
"214",NA,3.5
"215",NA,3.25
"216",NA,2.75
"217",5,5
"218",3.5,5
"219",2,1.25
"220",1,4.75
"221",5,2.5
"222",5,3
"223",3,2.75
"224",4,4.75
"225",3,3.25
"226",3.5,4.25
"227",2.5,2
"228",5,4
"229",NA,4.5
"230",5,3.25
"231",5,3
"232",5,4
"233",5,4.25
"234",5,4
"235",NA,4
"236",5,3.25
"237",5,4.5
"238",NA,3
"239",5,5
"240",NA,4.5
"241",5,5
"242",NA,4
"243",3.5,3.5
"244",3,4
"245",NA,4.75
